,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,Bulihan,14.2697,120.9955,80.67,85,100,14.81,PH,1627846419
274,Tilichiki,60.4667,166.1,50.94,64,100,4.56,RU,1627846420
275,Atar,20.5169,-13.0499,98.2,27,7,9.82,MR,1627846422
276,Haimen,23.1935,116.6142,80.49,89,92,5.77,CN,1627846423
277,Mount Isa,-20.7333,139.5,60.57,55,29,0.0,AU,1627846424
278,Pori,61.4833,21.7833,60.87,88,0,4.61,FI,1627846201
279,Badarwās,24.9667,77.5667,74.57,98,100,16.93,IN,1627846427
280,Yumen,40.2833,97.2,68.59,43,93,11.77,CN,1627846428
281,Lázaro Cárdenas,17.9583,-102.2,88.25,66,12,8.39,MX,1627846429
282,Tongzhou,39.9053,116.5994,71.71,78,0,6.71,CN,1627846431
283,Bogorodskoye,56.55,37.8833,62.94,91,50,6.73,RU,1627846432
284,Osoyoos,49.0331,-119.4524,79.21,57,100,5.75,CA,1627846433
285,Rawson,-43.3002,-65.1023,64.71,28,20,10.51,AR,1627846434
286,Toora-Khem,52.4675,96.11,49.24,96,100,3.58,RU,1627846436
287,Fairbanks,64.8378,-147.7164,72.1,63,20,0.0,US,1627846437
288,Rio Grande,-32.035,-52.0986,53.71,83,37,5.5,BR,1627846438
289,Tougue,11.4667,-11.6,68.4,95,100,3.85,GN,1627846439
290,Acarí,-15.4311,-74.6158,75.83,49,0,8.28,PE,1627846440
291,Hasaki,35.7333,140.8333,77.4,90,12,7.09,JP,1627846442
292,Becerril,9.7041,-73.2793,98.44,38,71,2.01,CO,1627846443
293,Jumla,29.2747,82.1838,64.44,93,98,0.81,NP,1627846445
294,Nampula,-15.1165,39.2666,66.15,77,40,8.05,MZ,1627846446
295,Mezhdurechensk,53.6942,88.0603,55.36,83,15,3.0,RU,1627846447
296,Batagay,67.6333,134.6333,52.72,60,0,1.34,RU,1627846449
297,Tinde,-3.8833,33.2,70.5,39,55,5.82,TZ,1627846450
298,Faanui,-16.4833,-151.75,77.22,70,54,15.01,PF,1627846451
299,Riyadh,24.6877,46.7219,100.54,9,3,5.21,SA,1627846312
300,Xai-Xai,-25.0519,33.6442,63.77,56,2,7.76,MZ,1627846454
301,Sagua de Tánamo,20.5819,-75.2414,86.99,72,57,6.15,CU,1627846455
302,Shimoda,34.6667,138.95,73.11,79,6,1.03,JP,1627846456
303,Preobrazhenka,47.5719,35.8167,77.65,53,31,3.91,UA,1627846457
304,Mananjary,-21.2167,48.3333,64.98,89,6,4.09,MG,1627846458
305,Lang Son,21.8333,106.7333,74.43,95,99,2.13,VN,1627846460
306,‘Āhuimanu,21.4447,-157.8378,83.91,61,40,13.8,US,1627846461
307,Cabedelo,-6.9811,-34.8339,81.27,75,5,21.72,BR,1627846462
308,Panalingaan,8.7842,117.4231,79.93,85,95,7.05,PH,1627846463
309,Linguère,15.3953,-15.1193,90.28,52,61,12.15,SN,1627846464
310,Ossora,59.2353,163.0719,53.33,74,100,7.67,RU,1627846466
311,Honiara,-9.4333,159.95,76.28,86,41,3.69,SB,1627846467
312,Trairi,-3.2778,-39.2689,81.39,66,99,12.03,BR,1627846468
313,New Norfolk,-42.7826,147.0587,36.91,83,16,2.39,AU,1627846470
314,Mpika,-11.8343,31.4529,55.62,78,62,4.0,ZM,1627846471
315,Hwange,-18.3693,26.5019,63.21,49,0,1.21,ZW,1627846472
316,Angatuba,-23.4897,-48.4128,66.78,49,81,6.93,BR,1627846473
317,Ballarat,-37.5662,143.8496,38.5,88,1,6.85,AU,1627846475
318,Talcahuano,-36.7167,-73.1167,65.88,34,0,12.66,CL,1627846476
319,Charters Towers,-20.1,146.2667,59.22,97,17,5.5,AU,1627846477
320,Wukari,7.85,9.7833,72.59,96,100,6.13,NG,1627846478
321,Tiksi,71.6872,128.8694,44.67,77,28,4.97,RU,1627846479
322,Swellendam,-34.0226,20.4417,55.78,83,53,1.77,ZA,1627846481
323,Sibolga,1.7427,98.7792,74.5,89,100,2.86,ID,1627846482
324,Gradiste,44.7567,21.5136,86.09,59,33,4.21,RS,1627846483
325,Gao,16.6362,1.637,93.49,38,22,9.44,ML,1627846485
326,Uusikaupunki,60.8004,21.4084,63.12,77,19,9.6,FI,1627846486
327,Changchun,43.88,125.3228,70.14,88,100,6.29,CN,1627846431
328,Marawi,7.9986,124.2928,71.65,94,100,4.18,PH,1627846488
329,Besançon,47.2488,6.0182,59.45,100,47,3.67,FR,1627846210
330,Jaguaruna,-28.615,-49.0256,68.23,76,98,11.68,BR,1627846491
331,Rujewa,-8.7,34.3833,65.66,48,64,9.01,TZ,1627846492
332,Praia da Vitória,38.7333,-27.0667,77.76,100,75,17.38,PT,1627846493
333,Rome,43.2128,-75.4557,66.06,91,90,5.75,US,1627846202
334,Buraidah,26.326,43.975,97.25,9,6,5.79,SA,1627846252
335,Port Lincoln,-34.7333,135.8667,52.59,49,5,23.53,AU,1627846497
336,Abu Samrah,35.3029,37.1841,83.5,40,0,11.12,SY,1627846498
337,Faya,18.3851,42.4509,68.11,67,97,4.94,SA,1627846499
338,Mandalgovi,45.7625,106.2708,66.47,41,100,17.85,MN,1627846501
339,Tuatapere,-46.1333,167.6833,40.82,93,100,5.57,NZ,1627846504
340,Berlevåg,70.8578,29.0864,57.0,93,0,14.97,NO,1627846507
341,Alta Floresta,-9.8756,-56.0861,94.82,28,40,9.22,BR,1627846509
342,Goderich,43.7501,-81.7165,67.03,77,59,16.11,CA,1627846511
343,Kulu,39.0951,33.0799,75.52,24,0,8.5,TR,1627846512
344,Leningradskiy,69.3833,178.4167,35.65,96,100,17.47,RU,1627846513
345,Pemangkat,1.1667,108.9667,79.36,85,99,8.66,ID,1627846515
346,Port Augusta,-32.5,137.7667,49.71,55,0,12.26,AU,1627846516
347,Bela,25.9333,81.9833,77.34,89,90,8.93,IN,1627846517
348,Yazykovo,55.2199,56.1353,65.28,63,99,3.38,RU,1627846518
349,Westport,41.1415,-73.3579,78.62,60,75,1.01,US,1627846520
350,Comodoro Rivadavia,-45.8667,-67.5,64.26,19,0,20.71,AR,1627846491
351,Coswig,51.1333,13.5833,64.98,79,20,4.61,DE,1627846522
352,Jalu,29.0331,21.5482,92.16,15,5,11.05,LY,1627846523
353,Troitskoye,52.9821,84.6757,61.45,63,72,6.73,RU,1627846525
354,Iguape,-24.7081,-47.5553,62.55,88,91,7.25,BR,1627846526
355,Ahipara,-35.1667,173.1667,55.45,87,63,9.62,NZ,1627846527
356,San Fernando del Valle de Catamarca,-28.4696,-65.7852,71.78,34,0,4.0,AR,1627846528
357,Sakassou,7.4546,-5.2926,80.28,88,85,4.59,CI,1627846530
358,Dābhol,17.6,73.1667,77.95,86,100,14.56,IN,1627846531
359,Stokmarknes,68.5646,14.9108,50.49,81,75,5.75,NO,1627846532
360,Stromness,58.965,-3.296,52.05,79,93,11.05,GB,1627846534
361,Tiarei,-17.5333,-149.3333,78.82,63,27,9.48,PF,1627846535
362,Kaura Namoda,12.5898,6.5779,75.78,88,84,8.57,NG,1627846536
363,Dhidhdhoo,6.8833,73.1,82.63,77,100,15.79,MV,1627846537
364,Guerrero Negro,27.9769,-114.0611,85.6,51,5,10.6,MX,1627846539
365,Smithers,54.7804,-127.1743,75.52,53,75,3.44,CA,1627846540
366,Mezen',65.8522,44.24,47.84,85,7,4.88,RU,1627846541
367,Nadym,65.5333,72.5167,57.52,85,100,10.83,RU,1627846413
368,Jambi City,-1.6,103.6167,74.21,94,68,2.51,ID,1627846544
369,Makokou,0.5738,12.8642,71.78,91,98,3.42,GA,1627846545
370,Buchanan,5.8808,-10.0467,78.76,80,70,8.99,LR,1627846546
371,Viedma,-40.8135,-62.9967,59.05,34,1,17.58,AR,1627846547
372,Bealanana,-14.55,48.7333,57.87,93,96,4.32,MG,1627846549
373,Saint-François,46.4154,3.9054,63.84,68,0,2.3,FR,1627846551
374,Oddur,4.1213,43.8894,73.83,71,88,19.71,SO,1627846552
375,Petropavlovsk-Kamchatskiy,53.0452,158.6483,46.99,100,0,8.95,RU,1627846553
376,Amurzet,47.6967,131.0981,64.74,86,100,10.71,RU,1627846555
377,Fortuna,40.5982,-124.1573,69.85,73,20,11.5,US,1627846556
378,Bom Jesus,-9.0744,-44.3586,89.78,25,55,9.95,BR,1627846557
379,Lipin Bor,60.2622,37.9763,60.33,95,22,6.53,RU,1627846558
380,Vyazemskiy,47.5378,134.7525,66.29,86,0,4.14,RU,1627846559
381,Burkburnett,34.0979,-98.5706,84.88,69,75,14.97,US,1627846561
382,San Cristobal,7.7669,-72.225,84.38,73,56,8.21,VE,1627846563
383,Gijang,35.2442,129.2139,82.13,84,94,4.38,KR,1627846565
384,Esso,55.9333,158.7,50.86,64,94,1.77,RU,1627846566
385,Maţāy,28.419,30.7792,93.99,13,0,9.37,EG,1627846567
386,Tucupita,9.0622,-62.051,82.2,74,83,4.09,VE,1627846569
387,Dingle,10.9995,122.6711,77.43,87,100,8.32,PH,1627846570
388,Ketchikan,55.3422,-131.6461,63.07,82,90,9.22,US,1627846571
389,Dingzhou,38.5131,114.9956,73.51,84,40,3.44,CN,1627846572
390,Nanortalik,60.1432,-45.2371,51.6,71,100,13.47,GL,1627846574
391,Torquay,50.4638,-3.5143,64.33,38,14,9.04,GB,1627846330
392,Jaltenango,15.8719,-92.7247,84.06,67,98,2.84,MX,1627846576
393,Dajabón,19.5488,-71.7083,94.24,49,100,13.76,DO,1627846577
394,Remedios,22.4947,-79.5458,92.32,73,11,12.66,CU,1627846578
395,Ostrovnoy,68.0531,39.5131,48.83,87,15,8.9,RU,1627846580
396,Marsh Harbour,26.5412,-77.0636,85.26,70,56,9.73,BS,1627846581
397,Noyabrsk,63.1994,75.4507,59.56,64,100,10.76,RU,1627846582
398,Nouadhibou,20.931,-17.0347,75.18,73,0,14.97,MR,1627846583
399,Province of Trapani,37.8333,12.6667,86.18,89,0,10.36,IT,1627846585
400,Katsuura,35.1333,140.3,81.1,85,1,5.84,JP,1627846586
401,Tashigang,27.3331,91.5542,70.14,96,52,2.17,BT,1627846587
402,Nguruka,-5.1092,31.0419,68.43,37,0,4.83,TZ,1627846588
403,Thul,28.2403,68.7759,91.35,46,98,13.27,PK,1627846590
404,Touros,-5.1989,-35.4608,79.7,71,5,20.2,BR,1627846591
405,Lerwick,60.1545,-1.1494,50.0,80,100,14.14,GB,1627846305
406,Vestmannaeyjar,63.4427,-20.2734,52.79,100,90,9.22,IS,1627846593
407,Yar-Sale,66.8333,70.8333,54.84,93,100,18.45,RU,1627846325
408,Porbandar,21.6422,69.6093,81.25,84,100,20.42,IN,1627846596
409,La Primavera,5.4906,-70.4092,79.86,80,91,8.7,CO,1627846597
410,Wagar,16.1525,36.2032,81.7,65,87,14.5,SD,1627846598
411,Dryden,49.7833,-92.7503,75.49,43,75,10.36,CA,1627846599
412,Mossamedes,-15.1961,12.1522,69.12,86,49,4.45,AO,1627846600
413,Manglaur,29.8,77.8667,80.85,81,15,3.29,IN,1627846602
414,Samaná,19.2056,-69.3369,91.62,66,20,16.11,DO,1627846603
415,Catuday,16.2923,119.8062,80.89,84,100,21.36,PH,1627846604
416,Cam Ranh,11.9214,109.1591,84.16,65,20,8.05,VN,1627846605
417,Susanville,40.4163,-120.653,87.1,32,1,3.44,US,1627846606
418,Bonthe,7.5264,-12.505,76.89,85,99,11.16,SL,1627846608
419,Kampot,10.6167,104.1833,79.83,82,100,11.59,KH,1627846609
420,Çorum Province,40.5,34.75,62.22,70,0,4.56,TR,1627846592
421,Maltahöhe,-24.8333,16.9833,56.8,22,0,8.97,NA,1627846612
422,Panzhihua,26.5851,101.7128,68.38,91,0,1.83,CN,1627846613
423,Taksimo,56.3444,114.8794,53.94,97,100,0.83,RU,1627846614
424,Sioux Lookout,50.1001,-91.917,75.58,43,75,6.91,CA,1627846615
425,Gizo Government Station,-8.103,156.8419,79.81,82,45,11.63,SB,1627846616
426,Okha,53.5739,142.9478,50.92,84,80,5.32,RU,1627846618
427,La Asuncion,11.0333,-63.8628,82.98,74,1,16.24,VE,1627846619
428,Kisangani,0.5167,25.2,73.35,85,100,2.42,CD,1627846620
429,Carnot,4.9409,15.8665,69.64,97,99,2.8,CF,1627846622
430,Tupik,54.4253,119.9327,48.9,97,100,3.51,RU,1627846623
431,Salem,11.65,78.1667,76.8,73,96,2.86,IN,1627846624
432,Nazaré,-13.035,-39.0144,71.73,76,67,7.65,BR,1627846625
433,Acaraú,-2.8856,-40.12,81.81,67,95,15.95,BR,1627846627
434,Durazno,-33.4131,-56.5006,60.75,55,40,13.8,UY,1627846628
435,Ambilobe,-13.2,49.05,68.88,81,3,3.96,MG,1627846629
436,Liverpool,53.4106,-2.9779,64.18,69,40,7.0,GB,1627846630
437,Nuuk,64.1835,-51.7216,59.61,55,20,8.05,GL,1627846446
438,Jiuquan,39.7432,98.5174,69.85,44,100,12.95,CN,1627846633
439,Wanning,18.8003,110.3967,80.56,89,100,11.1,CN,1627846634
440,Mayumba,-3.432,10.6554,73.87,85,100,8.86,GA,1627846636
441,Hatillo,18.4863,-66.8254,89.11,69,3,21.03,PR,1627846637
442,Ascension,30.2169,-90.9001,95.07,68,1,5.75,US,1627846638
443,Namatanai,-3.6667,152.4333,78.33,84,10,6.55,PG,1627846639
444,Farah,32.5,62.5,80.01,14,0,5.48,AF,1627846641
445,Ile-Ife,7.4667,4.5667,71.46,96,100,2.19,NG,1627846642
446,Souillac,-20.5167,57.5167,70.18,83,75,13.8,MU,1627846643
447,Amga,60.8953,131.9608,58.23,71,97,2.91,RU,1627846644
448,Saint-Pierre,-21.3393,55.4781,67.64,73,20,4.61,RE,1627846645
449,Vikeså,58.6376,6.0913,57.88,88,43,5.53,NO,1627846647
450,St. Marys,30.7305,-81.5465,96.98,78,40,10.36,US,1627846648
451,Aksha,50.2814,113.2867,53.78,91,50,2.35,RU,1627846649
452,Camacha,33.0833,-16.3333,70.56,73,40,12.66,PT,1627846651
453,Kaeo,-35.1,173.7833,48.33,92,26,4.99,NZ,1627846652
454,Port Hedland,-20.3167,118.5667,59.05,44,0,11.5,AU,1627846653
455,Pahrump,36.2083,-115.9839,95.05,30,3,3.0,US,1627846567
456,Qandala,11.472,49.8728,88.57,51,60,6.42,SO,1627846656
457,Paamiut,61.994,-49.6678,47.95,89,100,6.13,GL,1627846657
458,Hillsborough,37.5741,-122.3794,85.21,67,20,3.0,US,1627846658
459,Greeneville,36.1632,-82.831,83.88,73,40,9.22,US,1627846659
460,Kempsey,-31.0833,152.8333,55.94,89,64,1.99,AU,1627846661
461,Vila Velha,-20.3297,-40.2925,72.97,57,0,11.5,BR,1627846621
462,Pasni,25.2631,63.471,81.18,89,87,17.16,PK,1627846663
463,La Maná,-0.9333,-79.2167,85.21,56,36,2.68,EC,1627846665
464,Coquimbo,-29.9533,-71.3436,62.33,67,0,13.8,CL,1627846396
465,Havelock,34.8791,-76.9013,89.58,87,100,13.0,US,1627846667
466,Kattivākkam,13.2167,80.3167,86.09,57,99,8.39,IN,1627846668
467,Paragominas,-2.9667,-47.4833,88.29,44,91,4.52,BR,1627846669
468,Roald,62.5833,6.1333,55.17,62,75,5.75,NO,1627846671
469,Crépy-en-Valois,49.2336,2.8881,67.86,79,51,4.38,FR,1627846672
470,Pandan Niog,6.2282,120.5631,82.71,80,62,9.04,PH,1627846673
471,Lafia,8.4833,8.5167,72.32,96,100,4.76,NG,1627846675
472,Kabanjahe,3.1001,98.4908,65.16,97,100,3.91,ID,1627846611
473,Fort Nelson,58.8053,-122.7002,81.99,44,1,3.44,CA,1627846677
474,Nha Trang,12.25,109.1833,84.2,71,90,5.23,VN,1627846679
475,Semnan,35.5729,53.3971,79.66,42,91,8.97,IR,1627846680
476,Klaksvík,62.2266,-6.589,49.12,82,53,11.48,FO,1627846682
477,Agirish,61.9247,63.0231,55.17,96,72,5.99,RU,1627846683
478,Baní,18.2833,-70.3333,90.84,62,10,16.49,DO,1627846685
479,Tateyama,34.9833,139.8667,81.01,81,2,6.24,JP,1627846686
480,Laas,46.6166,10.7002,58.08,97,100,5.77,IT,1627846687
481,Haines Junction,60.7522,-137.5108,71.55,43,40,2.3,CA,1627846688
482,Grindavik,63.8424,-22.4338,55.56,87,75,6.91,IS,1627846690
483,Kiryat Gat,31.61,34.7642,85.41,56,0,4.27,IL,1627846543
484,Marabu,4.4148,114.0089,75.34,94,40,8.05,MY,1627846692
485,Samarai,-10.6167,150.6667,75.36,69,86,6.08,PG,1627846693
486,Guamúchil,25.4667,-108.1,94.68,39,57,6.76,MX,1627846694
487,Syracuse,37.0881,15.2792,92.89,60,0,8.16,IT,1627846595
488,Lidköping,58.5052,13.1577,61.32,79,0,7.92,SE,1627846697
489,Maxixe,-23.8597,35.3472,58.82,94,0,0.0,MZ,1627846698
490,Poros,37.4994,23.4536,92.57,45,0,6.6,GR,1627846700
491,Merauke,-8.4667,140.3333,73.04,85,10,12.95,ID,1627846701
492,Terrace,54.5163,-128.6035,75.11,64,75,0.0,CA,1627846702
493,Payo,-3.7508,103.6372,70.92,97,96,2.01,ID,1627846703
494,Werda,-25.2667,23.2833,55.51,28,0,5.66,BW,1627846704
495,Cap Malheureux,-19.9842,57.6142,70.29,76,12,5.99,MU,1627846706
496,Comarapa,-17.9,-64.4833,49.6,64,100,2.39,BO,1627846707
497,Gobabis,-22.45,18.9667,52.54,35,0,9.57,NA,1627846708
498,Gouré,13.9835,10.2704,90.55,42,27,6.31,NE,1627846710
499,Rincon,32.296,-81.2354,96.85,62,40,11.5,US,1627846711
500,Burla,21.5,83.8667,75.54,89,76,5.75,IN,1627846712
501,Pisco,-13.7,-76.2167,66.25,72,20,9.22,PE,1627846714
502,Madisonville,37.3281,-87.4989,83.66,62,1,1.99,US,1627846715
503,Manicoré,-5.8092,-61.3003,96.6,23,12,5.21,BR,1627846716
504,Okhotsk,59.3833,143.3,58.57,58,0,8.61,RU,1627846717
505,Hūn,29.1268,15.9477,92.16,13,0,14.16,LY,1627846718
506,Kenai,60.5544,-151.2583,70.03,61,1,3.44,US,1627846720
507,Bajil,15.0584,43.2851,88.75,62,100,6.04,YE,1627846721
508,Borovoy,55.4333,86.0833,65.48,77,0,6.71,RU,1627846722
509,Sabang,5.8933,95.3214,82.4,74,100,25.7,ID,1627846723
510,Bhānder,25.7333,78.75,77.77,93,100,15.9,IN,1627846724
511,Sierra Vista,31.5545,-110.3037,90.7,44,20,0.0,US,1627846470
512,Taunggyi,20.7833,97.0333,63.32,97,100,3.87,MM,1627846727
513,Atikokan,48.7555,-91.6216,77.43,28,66,7.63,CA,1627846728
514,Caconda,-13.7333,15.0667,61.23,27,0,1.05,AO,1627846729
515,Palm Springs,33.8303,-116.5453,107.85,20,1,4.0,US,1627846731
516,Yulara,-25.2406,130.9889,53.44,43,0,8.05,AU,1627846732
517,Challapata,-18.9,-66.7667,52.81,37,46,17.52,BO,1627846733
518,Alice Springs,-23.7,133.8833,60.35,48,95,9.22,AU,1627846734
519,Port Hardy,50.6996,-127.4199,64.58,77,40,13.8,CA,1627846735
520,Gwembe,-16.4975,27.6069,55.62,57,0,1.12,ZM,1627846737
521,Scarborough,54.2797,-0.4044,59.54,77,10,3.0,GB,1627846738
522,Baykit,61.67,96.37,59.13,92,100,1.45,RU,1627846740
523,Ishigaki,24.3448,124.1572,82.49,80,100,13.94,JP,1627846742
524,Shache,38.4167,77.2406,75.51,43,100,3.94,CN,1627846743
525,Chumikan,54.7183,135.315,54.45,80,100,0.51,RU,1627846744
526,Kasongo-Lunda,-6.4667,16.8167,76.01,25,94,1.97,CD,1627846745
527,Bereda,43.2686,-7.5406,62.91,100,94,4.52,ES,1627846747
528,Bonfim,3.0833,-59.95,82.27,73,78,3.94,BR,1627846748
529,Tavira,37.1273,-7.6486,80.47,59,0,19.8,PT,1627846749
530,Qena,26.1615,32.7183,91.51,13,9,6.44,EG,1627846750
531,Devonport,-41.1667,146.35,42.94,79,86,4.94,AU,1627846751
532,Zhangjiakou,40.81,114.8794,61.25,78,3,4.25,CN,1627846753
533,Skibotn,69.3913,20.2679,48.29,90,100,2.73,NO,1627846754
534,College,64.8569,-147.8028,71.42,64,75,4.61,US,1627846755
535,Alad,12.6168,122.2475,83.62,79,100,26.62,PH,1627846756
536,Benalla,-36.55,145.9833,33.55,92,0,4.27,AU,1627846758
537,São Miguel,-5.4667,-35.3667,80.92,69,5,22.08,BR,1627846759
538,Kalmar,56.6616,16.3616,62.53,77,54,5.75,SE,1627846760
539,Sitka,57.0531,-135.33,60.69,82,75,4.61,US,1627846761
540,Znamenskoye,57.1281,73.8282,61.54,98,67,6.35,RU,1627846762
541,Port Pirie,-33.1833,138.0167,48.29,55,0,14.07,AU,1627846764
542,Boa Vista,2.8197,-60.6733,76.98,83,75,6.91,BR,1627846765
543,Lima,-12.0432,-77.0282,68.9,72,90,5.75,PE,1627846766
544,Izhma,65.0083,53.9113,52.23,96,41,3.33,RU,1627846767
545,Tyazhinskiy,56.116,88.524,56.19,85,15,3.51,RU,1627846768
546,Cairns,-16.9167,145.7667,67.95,92,90,8.05,AU,1627846770
547,Kampen,52.555,5.9111,61.99,83,88,6.8,NL,1627846771
